"School.Name","School.Type","Starting.Median.Salary.x","Mid.Career.Median.Salary.x","Mid.Career.10th.Percentile.Salary.x","Mid.Career.25th.Percentile.Salary.x","Mid.Career.75th.Percentile.Salary.x","Mid.Career.90th.Percentile.Salary.x","Region","Ivy.Type","Start.Mid.Salary.Diff"
"Moravian College","Liberal Arts",42500,74400,"N/A","$56,700.00","$94,900.00","N/A","Northeastern",0,31900
"Morehead State University","State",34800,60600,"$34,300.00","$46,500.00","$72,000.00","$91,300.00","Southern",0,25800
"Mount Holyoke College","Liberal Arts",42400,94100,"N/A","$57,100.00","$131,000.00","N/A","Northeastern",0,51700
"New Mexico Institute of Mining and Technology (New Mexico Tech)","Engineering",51000,93400,"N/A","$67,400.00","$123,000.00","N/A","Western",0,42400
"New Mexico State University","State",44300,79500,"$37,400.00","$53,800.00","$102,000.00","$131,000.00","Western",0,35200
"North Carolina State University (NCSU)","State",47200,83300,"$49,200.00","$64,800.00","$112,000.00","$153,000.00","Southern",0,36100
"North Dakota State University (NDSU)","State",45100,77800,"$39,000.00","$55,800.00","$100,000.00","$123,000.00","Midwestern",0,32700
"Northern Illinois University (NIU)","State",43600,80800,"$43,900.00","$60,200.00","$111,000.00","$161,000.00","Midwestern",0,37200
"Oberlin College","Liberal Arts",43400,81600,"N/A","$46,400.00","$128,000.00","N/A","Midwestern",0,38200
"Occidental College","Liberal Arts",51900,105000,"N/A","$54,800.00","$157,000.00","N/A","California",0,53100
"Ohio State University (OSU)","State",44900,83700,"$45,500.00","$60,700.00","$116,000.00","$162,000.00","Midwestern",0,38800
"Ohio University","Party",42200,73400,"$36,600.00","$52,800.00","$106,000.00","$150,000.00","Midwestern",0,31200
"Ohio University","State",42200,73400,"$36,600.00","$52,800.00","$106,000.00","$150,000.00","Midwestern",0,31200
"Oklahoma State University","State",42800,80700,"$40,100.00","$56,500.00","$114,000.00","$151,000.00","Southern",0,37900
"Oregon State University (OSU)","State",45100,83300,"$46,900.00","$64,000.00","$113,000.00","$146,000.00","Western",0,38200
"Penn State - Harrisburg","State",45700,74000,"$44,000.00","$53,100.00","$104,000.00","$150,000.00","Northeastern",0,28300
"Pennsylvania State University (PSU)","State",49900,85700,"$46,300.00","$62,000.00","$117,000.00","$160,000.00","Northeastern",0,35800
"Pennsylvania State University (PSU)","Party",49900,85700,"$46,300.00","$62,000.00","$117,000.00","$160,000.00","Northeastern",0,35800
"Pittsburg State University","State",40400,58200,"$25,600.00","$46,000.00","$84,600.00","$117,000.00","Midwestern",0,17800
"Polytechnic University of New York, Brooklyn","Engineering",62400,114000,"$66,800.00","$94,300.00","$143,000.00","$190,000.00","Northeastern",0,51600
"Pomona College","Liberal Arts",48600,101000,"N/A","$63,300.00","$161,000.00","N/A","California",0,52400
"Portland State University (PSU)","State",42600,70900,"$40,700.00","$52,300.00","$94,400.00","$123,000.00","Western",0,28300
"Princeton University","Ivy League",66500,131000,"$68,900.00","$100,000.00","$190,000.00","$261,000.00","Northeastern",1,64500
"Purdue University","State",51400,90500,"$49,900.00","$67,400.00","$121,000.00","$168,000.00","Midwestern",0,39100
"Randolph-Macon College","Party",42600,83600,"N/A","$54,100.00","$123,000.00","N/A","Southern",0,41000
"Randolph-Macon College","Liberal Arts",42600,83600,"N/A","$54,100.00","$123,000.00","N/A","Southern",0,41000
"Reed College","Liberal Arts",40500,81100,"N/A","$67,400.00","$101,000.00","N/A","Western",0,40600
"Rensselaer Polytechnic Institute (RPI)","Engineering",61100,110000,"$71,600.00","$85,500.00","$140,000.00","$182,000.00","Northeastern",0,48900
"Rochester Institute of Technology (RIT)","Engineering",48900,84600,"$45,000.00","$62,100.00","$112,000.00","$159,000.00","Northeastern",0,35700
"Rutgers University","State",50300,91800,"$48,100.00","$65,100.00","$128,000.00","$176,000.00","Northeastern",0,41500
"San Diego State University (SDSU)","State",46200,85200,"$45,500.00","$61,800.00","$116,000.00","$158,000.00","California",0,39000
"San Francisco State University (SFSU)","State",47300,86400,"$45,100.00","$62,700.00","$114,000.00","$150,000.00","California",0,39100
"San Jose State University (SJSU)","State",53500,95600,"$50,700.00","$70,500.00","$122,000.00","$156,000.00","California",0,42100
"Siena College","Liberal Arts",45500,85200,"$38,700.00","$58,400.00","$129,000.00","$189,000.00","Northeastern",0,39700
"Skidmore College","Liberal Arts",41600,74600,"N/A","$42,800.00","$147,000.00","N/A","Northeastern",0,33000
"Smith College","Liberal Arts",44000,83900,"$45,100.00","$59,800.00","$129,000.00","$184,000.00","Northeastern",0,39900
"South Dakota School of Mines & Technology","Engineering",55800,93400,"$71,500.00","$81,900.00","$122,000.00","$147,000.00","Midwestern",0,37600
"South Dakota State University (SDSU)","State",41100,73500,"$34,100.00","$49,900.00","$99,400.00","$129,000.00","Midwestern",0,32400
"Southern Illinois University Carbondale","State",43000,72500,"$38,300.00","$51,300.00","$99,300.00","$139,000.00","Midwestern",0,29500
"Southern Utah University","State",41900,56500,"$30,700.00","$39,700.00","$78,400.00","$116,000.00","Western",0,14600
"St. Cloud State University","State",41800,71400,"$38,700.00","$49,400.00","$101,000.00","$126,000.00","Midwestern",0,29600
"St. Olaf College","Liberal Arts",45300,86200,"$41,300.00","$61,000.00","$120,000.00","$185,000.00","Midwestern",0,40900
"State University of New York (SUNY) at Albany","State",44500,92200,"$47,000.00","$63,100.00","$135,000.00","$209,000.00","Northeastern",0,47700
"State University of New York (SUNY) at Albany","Party",44500,92200,"$47,000.00","$63,100.00","$135,000.00","$209,000.00","Northeastern",0,47700
"State University of New York (SUNY) at Buffalo","State",46200,81700,"$45,900.00","$61,400.00","$110,000.00","$147,000.00","Northeastern",0,35500
"State University of New York (SUNY) at Farmingdale","State",47300,84200,"$50,200.00","$59,800.00","$110,000.00","$162,000.00","Northeastern",0,36900
"State University of New York (SUNY) at Fredonia","State",37800,66200,"$32,800.00","$44,200.00","$93,300.00","$181,000.00","Northeastern",0,28400
"State University of New York (SUNY) at Geneseo","State",42300,81300,"$39,300.00","$47,600.00","$117,000.00","$173,000.00","Northeastern",0,39000
"State University of New York (SUNY) at Oneonta","State",37500,76700,"$40,000.00","$54,300.00","$97,700.00","$155,000.00","Northeastern",0,39200
"State University of New York (SUNY) at Oswego","State",38000,77800,"$40,400.00","$53,000.00","$115,000.00","$169,000.00","Northeastern",0,39800
"State University of New York (SUNY) at Plattsburgh","State",40800,76200,"$38,400.00","$54,100.00","$105,000.00","$136,000.00","Northeastern",0,35400
"State University of New York (SUNY) at Potsdam","State",38000,70300,"$35,100.00","$51,200.00","$100,000.00","$179,000.00","Northeastern",0,32300
"Stevens Institute of Technology","Engineering",60600,105000,"$68,700.00","$81,900.00","$138,000.00","$185,000.00","Northeastern",0,44400
"Stony Brook University","State",49500,93000,"$47,200.00","$67,100.00","$129,000.00","$181,000.00","Northeastern",0,43500
"Swarthmore College","Liberal Arts",49700,104000,"N/A","$67,200.00","$167,000.00","N/A","Northeastern",0,54300
"Tarleton State University (TSU)","State",40800,62400,"$32,100.00","$47,400.00","$80,400.00","$126,000.00","Southern",0,21600
"Tennessee Technological University","Engineering",46200,80000,"$42,100.00","$62,600.00","$99,500.00","$121,000.00","Southern",0,33800
"Texas A&M University","State",49700,96100,"$51,100.00","$71,300.00","$131,000.00","$171,000.00","Southern",0,46400
"Thomas Aquinas College","Liberal Arts",41500,67500,"N/A","$44,600.00","$93,100.00","N/A","California",0,26000
"Union College","Liberal Arts",47200,95800,"$48,700.00","$75,200.00","$135,000.00","$230,000.00","Northeastern",0,48600
"University of Akron","State",41100,70300,"$40,600.00","$53,300.00","$95,200.00","$127,000.00","Midwestern",0,29200
"University of Alabama at Birmingham (UAB)","State",39200,70100,"$43,000.00","$53,400.00","$91,400.00","$125,000.00","Southern",0,30900
"University of Alabama at Huntsville (UAH)","State",43100,82700,"$46,100.00","$67,800.00","$106,000.00","$132,000.00","Southern",0,39600
"University of Alabama, Tuscaloosa","Party",41300,81400,"$40,100.00","$56,500.00","$117,000.00","$161,000.00","Southern",0,40100
"University of Alabama, Tuscaloosa","State",41300,81400,"$40,100.00","$56,500.00","$117,000.00","$161,000.00","Southern",0,40100
"University of Alaska, Anchorage","State",45900,72600,"$39,800.00","$56,600.00","$99,300.00","$137,000.00","Western",0,26700
"University of Arizona","State",47500,86100,"$44,800.00","$61,700.00","$117,000.00","$160,000.00","Western",0,38600
