"School.Name","School.Type","Starting.Median.Salary.x","Mid.Career.Median.Salary.x","Mid.Career.10th.Percentile.Salary.x","Mid.Career.25th.Percentile.Salary.x","Mid.Career.75th.Percentile.Salary.x","Mid.Career.90th.Percentile.Salary.x","Region","Ivy.Type","Start.Mid.Salary.Diff"
"University of Nebraska at Omaha","State",41500,72600,"$39,500.00","$54,400.00","$97,400.00","$126,000.00","Midwestern",0,31100
"University of Nevada, Las Vegas (UNLV)","State",45200,71600,"$39,000.00","$52,400.00","$100,000.00","$128,000.00","Western",0,26400
"University of Nevada, Reno (UNR)","State",46500,82900,"$41,900.00","$54,600.00","$113,000.00","$143,000.00","Western",0,36400
"University of New Hampshire (UNH)","State",41800,78300,"$41,700.00","$56,400.00","$114,000.00","$147,000.00","Northeastern",0,36500
"University of New Hampshire (UNH)","Party",41800,78300,"$41,700.00","$56,400.00","$114,000.00","$147,000.00","Northeastern",0,36500
"University of New Mexico (UNM)","State",41600,81600,"$41,800.00","$59,100.00","$105,000.00","$141,000.00","Western",0,40000
"University of North Carolina at Chapel Hill (UNCH)","State",42900,81500,"$43,400.00","$57,500.00","$117,000.00","$155,000.00","Southern",0,38600
"University of North Carolina at Charlotte (UNCC)","State",43100,74000,"$38,200.00","$53,200.00","$99,500.00","$133,000.00","Southern",0,30900
"University of North Carolina at Wilmington (UNCW)","State",37500,64400,"$32,100.00","$46,600.00","$97,100.00","$129,000.00","Southern",0,26900
"University of North Dakota","State",44000,80600,"$43,400.00","$56,400.00","$111,000.00","$157,000.00","Midwestern",0,36600
"University of Oklahoma","State",44700,82900,"$41,200.00","$60,300.00","$114,000.00","$167,000.00","Southern",0,38200
"University of Oregon","State",42200,78400,"$38,100.00","$56,200.00","$117,000.00","$186,000.00","Western",0,36200
"University of Pennsylvania","Ivy League",60900,120000,"$55,900.00","$79,200.00","$192,000.00","$282,000.00","Northeastern",1,59100
"University of Puget Sound","Liberal Arts",46600,81500,"$48,900.00","$60,100.00","$104,000.00","$137,000.00","Western",0,34900
"University of Rhode Island (URI)","State",43900,85300,"$45,400.00","$60,100.00","$112,000.00","$157,000.00","Northeastern",0,41400
"University of Richmond","Liberal Arts",48600,94600,"$44,500.00","$59,400.00","$151,000.00","$211,000.00","Southern",0,46000
"University of South Carolina","State",40000,71700,"$36,300.00","$49,900.00","$98,400.00","$131,000.00","Southern",0,31700
"University of South Florida (USF)","State",41100,71100,"$39,600.00","$51,500.00","$98,100.00","$131,000.00","Southern",0,30000
"University of Southern Maine","State",39400,63600,"$40,400.00","$47,900.00","$85,700.00","$117,000.00","Northeastern",0,24200
"University of Tennessee","Party",43800,74600,"$41,900.00","$53,200.00","$106,000.00","$153,000.00","Southern",0,30800
"University of Tennessee","State",43800,74600,"$41,900.00","$53,200.00","$106,000.00","$153,000.00","Southern",0,30800
"University of Texas (UT) - Austin","State",49700,93900,"$50,100.00","$67,400.00","$129,000.00","$188,000.00","Southern",0,44200
"University of Texas (UT) - Austin","Party",49700,93900,"$50,100.00","$67,400.00","$129,000.00","$188,000.00","Southern",0,44200
"University of Texas at Arlington (UTA)","State",45400,80800,"$46,400.00","$61,200.00","$106,000.00","$138,000.00","Southern",0,35400
"University of Texas at El Paso (UTEP)","State",43400,72100,"$37,700.00","$50,400.00","$99,500.00","$133,000.00","Southern",0,28700
"University of Texas at San Antonio (UTSA)","State",42500,70700,"$39,100.00","$49,800.00","$92,700.00","$121,000.00","Southern",0,28200
"University of Toledo","State",43100,75900,"$40,100.00","$54,100.00","$100,000.00","$133,000.00","Midwestern",0,32800
"University of Utah","State",45400,83200,"$43,000.00","$58,400.00","$116,000.00","$148,000.00","Western",0,37800
"University of Vermont (UVM)","State",44800,82700,"$44,700.00","$58,000.00","$122,000.00","$194,000.00","Northeastern",0,37900
"University of Virginia (UVA)","State",52700,103000,"$52,200.00","$71,800.00","$146,000.00","$215,000.00","Southern",0,50300
"University of Washington (UW)","State",48800,85300,"$47,000.00","$59,800.00","$115,000.00","$149,000.00","Western",0,36500
"University of Wisconsin (UW) - Eau Claire","State",41400,64800,"$35,000.00","$47,300.00","$93,100.00","$125,000.00","Midwestern",0,23400
"University of Wisconsin (UW) - Green Bay","State",35800,60600,"$35,500.00","$46,800.00","$81,800.00","$102,000.00","Midwestern",0,24800
"University of Wisconsin (UW) - La Crosse","State",42200,69300,"$37,500.00","$47,200.00","$93,100.00","$133,000.00","Midwestern",0,27100
"University of Wisconsin (UW) - Madison","State",48900,87800,"$47,400.00","$62,400.00","$118,000.00","$170,000.00","Midwestern",0,38900
"University of Wisconsin (UW) - Milwaukee","State",42300,74600,"$40,600.00","$54,000.00","$93,700.00","$123,000.00","Midwestern",0,32300
"University of Wisconsin (UW) - Oshkosh","State",39300,66400,"$37,700.00","$49,700.00","$90,100.00","$138,000.00","Midwestern",0,27100
"University of Wisconsin (UW) - Parkside","State",40700,71400,"$40,900.00","$53,100.00","$84,900.00","$119,000.00","Midwestern",0,30700
"University of Wisconsin (UW) - Platteville","State",45800,78500,"$48,400.00","$61,200.00","$100,000.00","$139,000.00","Midwestern",0,32700
"University of Wisconsin (UW) - Stevens Point","State",39800,64000,"$38,400.00","$45,100.00","$95,400.00","$128,000.00","Midwestern",0,24200
"University of Wisconsin (UW) - Stout","State",43600,68300,"$40,900.00","$50,600.00","$91,600.00","$136,000.00","Midwestern",0,24700
"University of Wisconsin (UW) - Whitewater","State",40800,75500,"$38,200.00","$53,500.00","$99,300.00","$150,000.00","Midwestern",0,34700
"University of Wyoming (UW)","State",44500,78700,"$41,500.00","$54,000.00","$105,000.00","$145,000.00","Western",0,34200
"Ursinus College","Liberal Arts",42100,80000,"$35,600.00","$54,300.00","$100,000.00","$160,000.00","Northeastern",0,37900
"Utah State University","State",43800,78700,"$41,600.00","$55,400.00","$101,000.00","$132,000.00","Western",0,34900
"Utah Valley State College","State",42400,67100,"$27,000.00","$44,100.00","$84,900.00","$110,000.00","Western",0,24700
"Vassar College","Liberal Arts",46000,94600,"N/A","$60,600.00","$123,000.00","N/A","Northeastern",0,48600
"Virginia Commonwealth University (VCU)","State",42000,68400,"$37,400.00","$51,900.00","$100,000.00","$123,000.00","Southern",0,26400
"Virginia Polytechnic Institute and State University (Virginia Tech)","Engineering",53500,95400,"$50,600.00","$71,400.00","$124,000.00","$163,000.00","Southern",0,41900
"Washington and Lee University","Liberal Arts",53600,104000,"N/A","$82,800.00","$146,000.00","N/A","Southern",0,50400
"Washington State University (WSU)","State",45300,84700,"$43,600.00","$59,000.00","$113,000.00","$162,000.00","Western",0,39400
"Wayne State University","State",42800,76100,"$40,100.00","$56,200.00","$101,000.00","$139,000.00","Midwestern",0,33300
"Wellesley College","Liberal Arts",42800,83500,"N/A","$58,600.00","$125,000.00","N/A","Northeastern",0,40700
"Wentworth Institute of Technology","Engineering",53000,96700,"$55,200.00","$74,000.00","$117,000.00","$153,000.00","Northeastern",0,43700
"Wesleyan University (Middletown, Connecticut)","Liberal Arts",46500,97900,"$42,000.00","$62,500.00","$126,000.00","$215,000.00","Northeastern",0,51400
"West Virginia University (WVU)","State",43100,78100,"$39,700.00","$55,700.00","$106,000.00","$141,000.00","Southern",0,35000
"West Virginia University (WVU)","Party",43100,78100,"$39,700.00","$55,700.00","$106,000.00","$141,000.00","Southern",0,35000
"Western Carolina University","State",36900,66600,"$39,000.00","$49,500.00","$94,400.00","$133,000.00","Southern",0,29700
"Western Michigan University (WMU)","State",42300,73800,"$40,100.00","$52,500.00","$103,000.00","$135,000.00","Midwestern",0,31500
"Western Washington University","State",42700,75400,"$41,300.00","$56,700.00","$99,200.00","$119,000.00","Western",0,32700
"Whitman College","Liberal Arts",43500,80100,"N/A","$64,800.00","$111,000.00","N/A","Western",0,36600
"Williams College","Liberal Arts",51700,102000,"N/A","$76,400.00","$143,000.00","N/A","Northeastern",0,50300
"Wittenberg University","Liberal Arts",39200,78200,"N/A","$54,100.00","$131,000.00","N/A","Midwestern",0,39000
"Worcester Polytechnic Institute (WPI)","Engineering",61000,114000,"$80,000.00","$91,200.00","$137,000.00","$180,000.00","Northeastern",0,53000
"Yale University","Ivy League",59100,126000,"$58,000.00","$80,600.00","$198,000.00","$326,000.00","Northeastern",1,66900
